as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-17,dc,180,Ynys Môn,,-0.6598,0.5287,-1.1885,-1.9715
2026-06-17,dc,181,Cambodia,AFC,-0.4333,0.7906,-1.2239,-0.9304
2026-06-17,dc,182,Belize,CONCACAF,-0.5746,0.6527,-1.2273,-0.8221
2026-06-17,dc,183,Western Armenia,,-0.4939,0.744,-1.2379,-1.7005
2026-06-17,dc,184,Saint Martin,CONCACAF,-0.3198,0.922,-1.2418,-1.4924
2026-06-17,dc,185,Jersey,,-0.2652,0.9867,-1.252,-1.9403
2026-06-17,dc,186,Aruba,CONCACAF,-0.4144,0.8463,-1.2607,-1.1024
2026-06-17,dc,187,Myanmar,AFC,-0.4163,0.8493,-1.2655,-0.5096
2026-06-17,dc,188,Isle of Man,,-0.1804,1.1175,-1.2979,-2.4026
2026-06-17,dc,189,Montserrat,CONCACAF,-0.585,0.7246,-1.3095,-0.6231
2026-06-17,dc,190,Saint Kitts and Nevis,CONCACAF,-0.449,0.9049,-1.3539,-1.0433
2026-06-17,dc,191,Nepal,AFC,-0.8927,0.4801,-1.3729,-0.5631
2026-06-17,dc,192,San Marino,UEFA,-0.8732,0.5276,-1.4008,0.5893
2026-06-17,dc,193,Afghanistan,AFC,-0.9003,0.5168,-1.4171,-0.6636
2026-06-17,dc,194,Bangladesh,AFC,-0.7727,0.6464,-1.4191,-0.9146
2026-06-17,dc,195,Liechtenstein,UEFA,-1.0746,0.3451,-1.4197,0.7159
2026-06-17,dc,196,Saint Lucia,CONCACAF,-0.5945,0.8858,-1.4803,-0.8423
2026-06-17,dc,197,Pakistan,AFC,-0.7948,0.6944,-1.4892,-0.586
2026-06-17,dc,198,Guernsey,,-0.9722,0.5203,-1.4925,-2.2205
2026-06-17,dc,199,Panjab,,-0.6964,0.8453,-1.5418,-2.1273
2026-06-17,dc,200,Sint Maarten,CONCACAF,-0.4339,1.1242,-1.5581,-1.2478
2026-06-17,dc,201,Barbados,CONCACAF,-0.5242,1.0705,-1.5947,-1.1495
2026-06-17,dc,202,South Ossetia,,-0.4538,1.1635,-1.6173,-1.1801
2026-06-17,dc,203,Ellan Vannin,,-0.6605,1.0411,-1.7016,-1.8136
2026-06-17,dc,204,Sri Lanka,AFC,-1.1168,0.6136,-1.7304,-1.0561
2026-06-17,dc,205,Laos,AFC,-0.6636,1.0757,-1.7393,-0.7247
2026-06-17,dc,206,Maldives,AFC,-0.8166,0.9567,-1.7733,-1.0173
2026-06-17,dc,207,Dominica,CONCACAF,-0.9517,0.8228,-1.7746,-1.1948
