gd_cap,half_life,friendly_w,cross_conf_w,shrink_mode,shrink_w,anchor_beta,elo_tau,matches,points,pts_per_match,exact,rps,log_loss
4.0,365,0.5,2.0,,0.0,0.0,0.0,290,585.0,2.0172413793103448,35,0.19089946664231436,2.8004599956147205
4.0,365,0.75,2.0,,0.0,0.0,0.0,290,578.0,1.993103448275862,35,0.1909175438418032,2.7984131601334337
4.0,365,0.5,1.0,,0.0,0.0,0.0,290,567.0,1.9551724137931035,33,0.19103714319830592,2.800331051889159
4.0,365,1.0,2.0,,0.0,0.0,0.0,290,575.0,1.9827586206896552,37,0.19109777183566592,2.7992183524534213
3.0,1095,0.5,1.0,,0.0,0.0,0.0,290,601.0,2.0724137931034483,39,0.19111614348134967,2.7935616273309978
3.0,365,1.0,1.0,,0.0,0.0,0.0,290,581.0,2.003448275862069,37,0.19135284889790796,2.8032466271726597
3.0,365,1.0,1.5,,0.0,0.0,0.0,290,562.0,1.9379310344827587,35,0.19146520811354317,2.805820139102783
3.0,365,0.75,1.5,,0.0,0.0,0.0,290,579.0,1.9965517241379311,38,0.19148591429694983,2.8066432740364022
3.0,365,0.75,1.0,,0.0,0.0,0.0,290,584.0,2.013793103448276,37,0.1914905740625057,2.8058934206974557
3.0,365,0.75,2.0,,0.0,0.0,0.0,290,562.0,1.9379310344827587,35,0.19163117655600237,2.80929939782916
3.0,365,0.5,1.5,,0.0,0.0,0.0,290,563.0,1.9413793103448276,35,0.19166884695152528,2.8103436065371312
3.0,365,1.0,2.0,,0.0,0.0,0.0,290,557.0,1.9206896551724137,35,0.1916967565676937,2.809746256994603
3.0,365,0.5,2.0,,0.0,0.0,0.0,290,564.0,1.9448275862068964,37,0.19171651578703278,2.811209779766103
3.0,365,0.5,1.0,,0.0,0.0,0.0,290,581.0,2.003448275862069,36,0.1917464157784357,2.81131768687531
